nconst,primaryName,birthYear,deathYear,primaryProfession
nm1350938,Aimee Lagos,\N,\N,"writer,producer,director"
nm2756895,David Ball,\N,\N,"producer,actor"
nm0319654,Paul Gilreath,\N,\N,"music_department,composer,soundtrack"
nm0556641,Charlie Mason,\N,\N,"producer,director,miscellaneous"
nm0728619,Paul Ritchie,\N,\N,"producer,production_manager"
nm1235530,Michael Urie,1980,\N,"actor,producer,director"
nm0284308,Sheree Folkson,\N,\N,"director,producer,miscellaneous"
nm1672363,Neil Jaworski,1976,2019,"writer,producer"
nm0680766,Sally Phillips,1970,\N,"actress,writer,soundtrack"
nm3333118,Arindam Ghatak,\N,\N,editor
nm1633541,Ranbir Kapoor,1982,\N,"actor,music_department,assistant_director"
nm0159159,Prem Chopra,1935,\N,"actor,music_department"
nm1201151,Mukesh S. Bhatt,\N,\N,actor
nm1430018,D. Santosh,\N,\N,actor
nm0024912,Shimit Amin,\N,\N,"sound_department,editorial_department,director"
nm1156290,Jaideep Sahni,\N,\N,"music_department,soundtrack,writer"
nm0159147,Aditya Chopra,1971,\N,"producer,writer,director"
nm1224445,Salim Merchant,\N,\N,"music_artist,composer,music_department"
nm2131307,Vikash Nowlakha,\N,\N,"cinematographer,camera_department,director"
nm0314652,Edward Gero,\N,\N,"actor,producer"
nm3510471,Sam Claflin,1986,\N,"actor,soundtrack,producer"
nm2782185,Rupert Sanders,1971,\N,"director,writer,producer"
nm2489193,Evan Daugherty,\N,\N,"writer,director,producer"
nm2042837,Tamara Meem,\N,\N,"editor,editorial_department,visual_effects"
nm1706832,Christopher Denham,\N,\N,"actor,writer,director"
nm1656122,Nicole Vicius,1976,\N,actress
nm0568672,Davenia McFadden,1961,\N,"actress,producer,miscellaneous"
nm2610231,Zal Batmanglij,1981,\N,"writer,producer,director"
nm0728754,Hans Ritter,\N,\N,"producer,location_management,production_manager"
nm0839710,Shelley Surpin,1949,2021,"miscellaneous,legal,producer"
nm2610770,Rostam Batmanglij,1983,\N,"soundtrack,composer,actor"
nm1121126,Rachel Morrison,1978,\N,"cinematographer,camera_department,director"
nm1342398,Evgueni Galperine,1974,\N,"composer,music_department,soundtrack"
nm1011070,Marta Etura,1978,\N,"actress,director"
nm4582429,Claudia Vega,1999,\N,actress
nm1665932,Kike Maíllo,1975,\N,"director,writer,actor"
nm0067618,Sergi Belbel,1963,\N,"writer,producer,director"
nm2962085,Cristina Clemente,1977,\N,writer
nm1885461,Martí Roca,1981,\N,"editor,editorial_department,writer"
nm0785359,Aintza Serra,\N,\N,"producer,production_manager,writer"
nm0516880,Julie Lockhart,\N,\N,"producer,executive"
nm0627920,Jeff Newitt,1962,\N,"animation_department,director,art_department"
nm2704527,Gideon Defoe,\N,\N,writer
nm1784078,Walter Barnett,\N,\N,"production_designer,set_decorator"
nm2362068,Caity Lotz,1986,\N,"actress,director,writer"
nm0825209,Mark Steger,1962,\N,"actor,miscellaneous,stunts"
nm1130275,Nicholas McCarthy,\N,\N,"writer,director,soundtrack"
nm1950472,Ronen Landa,\N,\N,"composer,music_department,soundtrack"
nm0631028,Bridger Nielson,1977,\N,"cinematographer,director,producer"
nm1948910,Adriaan van Zyl,\N,\N,"editorial_department,editor,miscellaneous"
nm1450928,Judd Payne,\N,\N,"producer,miscellaneous,executive"
nm0170952,Brady Coleman,\N,\N,actor
nm0390912,Skip Hollandsworth,1957,\N,"writer,miscellaneous"
nm2072611,Dete Meserve,\N,\N,"producer,writer,executive"
nm3034773,Jennifer Kelley,\N,\N,producer
nm0234600,Walter Doty,\N,\N,"writer,actor,camera_department"
nm1729756,Christian Escario,\N,\N,"cinematographer,actor,writer"
nm0203850,Matthew Davies,\N,\N,"production_designer,art_department,art_director"
nm0600261,Luc Montpellier,\N,\N,"cinematographer,camera_department,director"
nm0232083,Christopher Donaldson,\N,\N,"editor,editorial_department,sound_department"
nm4442068,Jared Gilman,1998,\N,actor
nm4442319,Kara Hayward,1998,\N,actress
nm2262509,Steven Rales,1951,\N,"producer,actor,executive"
nm3172776,Kevin Balmore,\N,\N,actor
nm0643740,Jesús Ochoa,1959,\N,"actor,director,writer"
nm0344496,Adrian Grunberg,\N,\N,"assistant_director,director,producer"
nm1142384,Stacy Perskie,\N,\N,"producer,miscellaneous,assistant_director"
nm13151607,Scotty Atkins,\N,\N,"producer,actor,miscellaneous"
nm0551346,James Marsters,1962,\N,"actor,producer,writer"
nm0199114,Stephanie Danan,\N,\N,"producer,director,writer"
nm1792454,Ryan Miller,\N,\N,"composer,soundtrack,actor"
nm2201555,Aubrey Plaza,1984,\N,"actress,producer,soundtrack"
nm4175221,Karan Soni,1989,\N,"actor,director,writer"
nm1119880,Colin Trevorrow,1976,\N,"producer,writer,director"
nm2081046,Derek Connolly,\N,\N,"writer,producer,actor"
nm1293297,Stephanie Langhoff,\N,\N,"producer,miscellaneous,actress"
nm3592268,John Lavin,\N,\N,"production_designer,miscellaneous,art_director"
nm1898126,Mike Birbiglia,1978,\N,"actor,writer,producer"
nm2693744,Steven Schardt,\N,\N,"producer,director,writer"
nm0385426,Tod Himmel,\N,\N,"producer,writer,miscellaneous"
nm0851311,Naoki Tatsuta,1950,\N,actor
nm0913844,Naoko Watanabe,1959,\N,actress
nm7495086,Yoshifumi Yûki,\N,\N,writer
nm0409323,Toshiki Inoue,1959,\N,"writer,miscellaneous,producer"
nm1455102,Cliff MacGillivray,\N,\N,"writer,miscellaneous"
nm0407476,Motoaki Ikegami,\N,\N,"cinematographer,camera_department"
nm4721074,Keiji Terui,\N,\N,writer
nm0452853,Shunsuke Kikuchi,1931,2021,"composer,soundtrack,music_department"
nm3371518,Ed McGuinness,1974,\N,"miscellaneous,writer,art_department"
nm1387613,Kazuhisa Takenouchi,\N,\N,"director,art_department,miscellaneous"
nm1038863,Neil Bligh,1965,\N,"writer,miscellaneous,soundtrack"
nm0298016,Shin'ichi Fukumitsu,\N,\N,"editor,editorial_department"
nm0700760,Steve Purcell,\N,\N,"writer,miscellaneous,actor"
nm0460798,Andrew Knight,1961,2008,"art_department,animation_department,writer"
nm0609600,Bill Motz,1964,\N,"writer,producer,miscellaneous"
nm0744793,Bob Roth,\N,\N,"writer,producer,miscellaneous"
nm1122614,Dominic Scott Kay,1996,\N,"actor,writer,producer"
nm0237711,Sarah Drew,1980,\N,"actress,director,producer"
nm3222550,Brad Cohen,\N,\N,writer
nm3222441,Lisa Wysocky,\N,\N,writer
nm8229810,Andrew Gottlieb,\N,\N,producer
nm0840721,Hirotaka Suzuoki,1950,2006,actor
nm0316945,Donal Gibson,1958,\N,actor
nm0254085,Tom Ellery,\N,\N,"animation_department,art_department,miscellaneous"
nm0261914,Allen Estrin,\N,\N,"writer,producer,director"
nm1285162,Matthew Morrison,1978,\N,"actor,soundtrack,producer"
nm1733365,J. Todd Smith,\N,\N,"actor,camera_department,cinematographer"
nm3763939,Heidi Murkoff,\N,\N,"writer,producer"
nm0016092,Faruk Alatan,\N,\N,"producer,production_manager,executive"
nm2325586,Giampaolo Letta,1966,\N,"producer,executive"
nm0907548,Benjamin Walker,1982,\N,"actor,soundtrack"
nm0501391,Jim Lemley,1965,\N,"producer,production_manager,actor"
nm5357278,Aran Bell,\N,\N,writer
nm4978263,Rebecca Houseknecht,\N,\N,
nm4978056,Joan Sebastian Zamora,\N,\N,
nm4982946,Miko Fogarty,\N,\N,
nm4557079,Bess Kargman,\N,\N,"director,producer,editor"
nm1087958,Nick Higgins,\N,\N,"cinematographer,camera_department,producer"
nm1546300,Diego Boneta,1990,\N,"actor,soundtrack,producer"
nm0195476,Chris D'Arienzo,1972,\N,"writer,actor,director"
nm2207081,Jonathan Sadoff,\N,\N,"composer,music_department,soundtrack"
nm2229726,Joy Gorman Wettels,\N,\N,"producer,miscellaneous,writer"
nm0842339,Doug Sweetland,\N,\N,"animation_department,director,actor"
nm1069780,Ted Mathot,\N,\N,"miscellaneous,animation_department,art_department"
nm1445746,Valerie LaPointe,1981,\N,"writer,animation_department,actress"
nm2938045,Justin Wright,1981,2008,"writer,animation_department,art_department"
nm0390897,Richard E. Hollander,\N,\N,"visual_effects,miscellaneous,animation_department"
nm1729949,Scot Blackwell Stafford,\N,\N,"music_department,composer,sound_department"
nm0727611,Katherine Ringgold,\N,\N,"editorial_department,actress,editor"
nm0422263,Harley Jessup,1954,\N,"production_designer,art_department,visual_effects"
nm1575873,Osnat Shurer,\N,\N,"producer,miscellaneous,director"
nm0662088,Bret 'Brook' Parker,1969,\N,"animation_department,actress,director"
nm1747568,Eli Fucile,\N,\N,actor
nm1656848,Bosco Ng,\N,\N,"director,art_department,animation_department"
nm0215455,Ronnie Del Carmen,1959,\N,"art_department,animation_department,miscellaneous"
nm0614774,Walter Murphy,1952,\N,"music_department,composer,soundtrack"
nm0570364,Joel McHale,1971,\N,"actor,writer,producer"
nm1273148,Alec Sulkin,1973,\N,"producer,actor,writer"
nm1273397,Wellesley Wild,1972,\N,"producer,writer,actor"
nm1601397,Olivia Munn,1980,\N,"actress,writer"
nm1730221,Reid Carolin,1982,\N,"producer,writer,director"
nm0394690,Ryô Horikawa,1958,\N,"actor,soundtrack"
nm0408000,Chiaki Imada,1923,2006,"producer,miscellaneous"
nm2255696,Rikizou Kayano,\N,\N,"producer,miscellaneous"
nm8221332,Nannie Co,\N,\N,producer
nm0973260,Mitsuo Hashimoto,\N,\N,"director,assistant_director,animation_department"
nm8313008,Mitch Frankenberger Pellicer,\N,\N,"actress,production_manager,writer"
nm1465617,Nesty Ramirez,\N,\N,"actor,art_department,production_manager"
nm2261621,Tomio Anzai,\N,\N,producer
nm0476223,Takeshi Kusao,1965,\N,"actor,soundtrack"
nm5387519,Byron Watson,\N,\N,"visual_effects,miscellaneous,writer"
nm1346211,Abhin Galeya,\N,\N,actor
nm0121895,Tom Burke,1981,\N,"actor,soundtrack"
nm1561205,Hadi Hajaig,\N,\N,"producer,writer,director"
nm0483449,Simon Lambros,\N,\N,"composer,sound_department,soundtrack"
nm1902548,Ian Howes,\N,\N,"cinematographer,camera_department,miscellaneous"
nm0172850,Stéphane Collonge,1970,\N,"production_designer,costume_designer,visual_effects"
nm0415360,Humphrey Jaeger,1947,\N,"production_designer,art_department,art_director"
nm0973920,Yoshihiro Ueda,\N,\N,"director,assistant_director,animation_department"
nm1209508,Daniel Cocanougher,1961,\N,"producer,miscellaneous"
nm0232561,John C. Donkin,\N,\N,"producer,miscellaneous,director"
nm0297229,Jason Fuchs,1986,\N,"actor,writer,producer"
nm2475118,Dan Romer,\N,\N,"composer,music_department,soundtrack"
nm4832920,Quvenzhané Wallis,2003,\N,"actress,soundtrack"
nm4833412,Dwight Henry,1963,\N,"actor,producer"
nm3017611,Levy Easterly,\N,\N,actor
nm3017935,Lowell Landes,\N,\N,actor
nm1022455,Benh Zeitlin,1982,\N,"director,composer,writer"
nm3599054,Lucy Alibar,\N,\N,"writer,actress,producer"
nm1886653,Michael Gottwald,\N,\N,"producer,miscellaneous,actor"
nm1885766,Dan Janvey,\N,\N,"producer,assistant_director,manager"
nm3017255,Josh Penn,\N,\N,"producer,sound_department"
nm1642839,Adam Peters,\N,\N,"composer,music_department,soundtrack"
nm0972454,Don Winslow,\N,\N,"writer,producer"
nm2167957,Paul Anderson,1978,\N,actor
nm1719329,Calum MacNab,\N,\N,actor
nm0020464,Doug Allen,\N,\N,"actor,soundtrack"
nm0522393,Nick Love,1969,\N,"writer,producer,director"
nm0039185,Al Ashton,1957,2007,"actor,writer,director"
nm3364953,Phil Leggett,\N,\N,"actor,soundtrack"
nm2014783,Roxy Vandiver,\N,\N,"actress,art_department,camera_department"
nm2734149,Julin,1983,\N,"actress,director,writer"
nm0807503,Brandon Smith,1952,2023,actor
nm2468331,Megan Moser,\N,\N,"casting_department,actress"
nm0079930,Kerry Beyer,\N,\N,"actor,producer,editor"
nm1290424,Amy Morris,\N,\N,actress
nm2263081,Jon Paul Burkhart,1977,\N,"actor,producer,writer"
nm1797557,Kavon Rafat,\N,\N,actor
nm3004211,Katy Rowe,1987,\N,actress
nm0240640,Karen Dufilho,\N,\N,"producer,writer,animation_department"
nm0899620,Gus Viseur,1915,1974,"soundtrack,composer"
nm0435993,Jim Kallett,\N,\N,"sound_department,editor,editorial_department"
nm0953357,Ben Zarai,\N,\N,"sound_department,music_department,composer"
nm0673512,Jack Perez,\N,\N,"director,writer,producer"
nm1452838,Ryan A. Levin,\N,\N,"miscellaneous,writer,producer"
nm2542772,Micah Goldman,\N,\N,"miscellaneous,writer,producer"
nm2347031,Michael Wormser,\N,\N,"producer,actor,director"
nm0457672,David Kitchens,\N,\N,"sound_department,producer,composer"
nm0442997,Barnaby Kay,1969,\N,actor
nm2639934,Madhur Mittal,1990,\N,actor
nm1052141,Geoff Bell,1963,\N,"actor,producer,director"
nm0672303,Rupert Penry-Jones,1970,\N,actor
nm0648285,Chu Omambala,\N,\N,actor
nm0573081,Steve McMahon,\N,\N,"cinematographer,camera_department"
nm0317727,Arturo Gil,\N,\N,"actor,stunts,miscellaneous"
nm0472947,Michael Kruzan,\N,\N,"director,writer,producer"
nm0773052,Kendall Schmidt,1958,\N,"composer,music_department,soundtrack"
nm0571298,Sean McKelvey,\N,\N,"camera_department,cinematographer"
nm0217817,Albert Delpy,1940,\N,"actor,writer,art_department"
nm15656289,Marie Pillet,\N,\N,"writer,director,cinematographer"
nm1595314,Alexandre Nahon,\N,\N,"writer,actor,producer"
nm15609129,Julie Delpy,\N,\N,"writer,composer"
nm15609137,Alexia Landeau,\N,\N,writer
nm15609138,Alexandre Nahon,\N,\N,writer
nm1017334,Juno Temple,1989,\N,"actress,soundtrack"
nm0251809,Scott Einbinder,\N,\N,"producer,actor,executive"
nm0411879,Miki Itô,1962,\N,"actress,sound_department,soundtrack"
nm0351338,Daisuke Gôri,1952,2010,actor
nm0971605,Mark Menza,\N,\N,"composer,sound_department,music_department"
nm1296597,Crystal Allen,1972,\N,actress
nm1756686,Patrick Regis,\N,\N,"actor,director,miscellaneous"
nm0203139,Nicholas Davidoff,1983,\N,"camera_department,actor,writer"
nm2837937,David C. Olson,\N,\N,"writer,miscellaneous,camera_department"
nm0783785,Alison Semenza King,\N,\N,"producer,production_manager,editorial_department"
nm1205538,Peter Meisner,\N,\N,"composer,music_department,soundtrack"
nm0055645,Joanna Barnes,1934,2022,actress
nm0293612,Tom Freeman,1963,\N,"editorial_department,art_department,editor"
nm0852570,Jennifer Leo,\N,\N,"visual_effects,editor,editorial_department"
nm1443740,Zoe Kazan,1983,\N,"actress,writer,producer"
nm4834796,Paul Brannigan,1986,\N,"actor,soundtrack"
nm0378132,John Henshaw,1951,\N,"actor,soundtrack"
nm0019885,Roger Allam,1953,\N,"actor,producer,soundtrack"
nm1162012,Gary Maitland,\N,\N,actor
nm0752811,Robbie Ryan,1970,\N,"cinematographer,camera_department,director"
nm1010639,Chiara Balducci,\N,\N,"production_designer,set_decorator,art_department"
nm0090469,Barbora Bobulova,1974,\N,"actress,soundtrack"
nm0029846,Ambra Angiolini,1977,\N,"actress,soundtrack"
nm0084709,Luca Bizzarri,1971,\N,actor
nm0002645,Paolo Genovese,1966,\N,"writer,director"
nm1471794,Marco Belardi,\N,\N,"producer,writer,miscellaneous"
nm0524369,Fabrizio Lucci,1961,\N,"cinematographer,camera_department"
nm0443733,Kazuyuki Sogabe,1948,2006,actor
nm0593047,Yûko Mita,1954,\N,actress
nm0913780,Takeshi Watabe,1936,2010,actor
nm0838572,Katsuyuki Sumizawa,\N,\N,"writer,miscellaneous"
nm1014208,Hiroshi Toda,\N,\N,"writer,producer"
nm2764082,Akihito Tokunaga,\N,\N,"composer,soundtrack"
nm0440391,Osamu Kasai,1941,\N,"director,assistant_director,art_department"
nm0605672,Kôzô Morishita,\N,\N,"producer,director,miscellaneous"
nm0765651,Luis A. Sartor,\N,\N,"producer,production_manager,miscellaneous"
nm1404059,Javier Drolas,1972,\N,"actor,composer"
