id,country_id
346,449
348,504
348,505
350,505
350,432
364,505
377,505
377,504
378,505
379,505
380,505
381,505
387,434
388,505
389,505
391,434
391,493
391,447
392,504
392,505
393,505
395,504
395,434
395,505
395,424
396,505
397,505
397,504
398,416
398,505
400,505
401,505
402,505
402,432
403,505
404,505
404,504
405,447
406,432
408,505
409,504
409,505
411,505
411,504
414,505
415,505
421,505
422,447
422,432
423,476
423,434
423,504
423,432
424,505
425,505
426,505
427,432
427,447
429,447
429,493
429,434
429,505
430,505
431,416
433,505
435,505
436,505
436,419
436,427
437,416
438,416
439,447
439,432
440,505
441,505
441,432
445,434
445,447
445,432
445,405
451,432
451,505
451,504
452,432
452,426
452,493
452,467
452,434
452,447
452,495
453,505
454,460
454,404
454,505
455,504
455,505
455,434
460,434
462,505
466,505
468,505
469,505
469,434
470,505
473,505
475,505
476,505
479,434
479,505
480,447
480,434
480,505
480,441
480,432
482,505
483,505
488,504
488,505
489,505
490,495
492,505
496,504
496,505
497,505
500,505
501,505
502,505
503,505
504,505
505,505
506,505
507,505
507,432
508,504
508,432
509,504
509,505
510,505
512,504
512,505
521,505
522,505
523,434
524,432
524,505
525,505
526,505
527,469
530,504
531,504
532,504
533,504
533,505
534,504
534,434
534,505
535,505
539,505
540,505
541,505
542,460
544,505
546,505
547,505
548,449
549,505
550,505
551,505
552,447
552,407
552,496
553,434
553,432
553,495
553,467
553,426
553,471
553,504
554,431
554,481
557,505
558,505
559,505
561,505
561,434
562,505
563,505
564,505
565,449
565,505
567,505
568,505
570,447
570,432
571,505
573,504
574,505
575,434
575,505
576,505
577,504
577,416
577,505
578,505
579,505
580,505
581,504
581,505
582,432
582,434
583,504
584,505
584,434
585,505
586,505
587,505
588,432
588,416
588,505
588,449
590,505
591,505
592,505
593,492
594,505
595,505
596,505
597,505
598,432
598,411
599,505
600,504
600,505
601,505
602,505
603,505
604,505
605,505
606,505
607,505
608,505
609,505
612,416
612,432
612,505
613,434
613,447
613,405
614,495
615,505
616,469
616,449
616,505
617,505
618,505
619,505
620,505
621,505
622,493
622,432
623,505
623,504
624,505
625,504
626,432
627,504
628,505
629,505
630,505
631,505
632,505
634,504
635,416
635,505
635,504
636,505
637,447
638,432
638,505
639,505
640,505
641,505
642,505
643,492
644,505
646,504
647,449
648,432
649,447
649,432
650,505
651,505
652,459
652,505
652,504
653,434
654,505
655,504
655,505
655,434
655,432
657,505
657,504
658,504
659,432
659,434
659,476
660,504
661,434
662,432
663,505
664,505
665,505
666,432
666,411
667,504
668,504
670,491
671,504
671,505
672,504
672,505
673,504
673,505
674,504
674,505
675,504
675,505
676,505
678,505
679,505
680,505
681,504
681,505
682,504
682,505
686,505
687,504
687,505
688,505
690,432
691,505
691,504
692,505
693,505
694,505
694,504
695,505
696,505
698,504
699,505
699,504
700,504
701,505
702,505
703,505
704,504
705,505
707,504
708,504
709,505
709,504
710,504
710,505
711,505
712,504
712,505
713,404
713,469
713,432
714,504
714,505
742,447
742,426
742,471
742,495
744,505
745,505
746,504
746,432
746,418
746,447
747,504
747,432
747,505
752,505
752,504
752,434
754,505
755,505
756,505
759,505
762,504
763,469
764,505
765,505
766,505
767,505
767,504
768,504
768,424
768,505
769,505
770,505
771,505
772,505
773,505
775,432
776,432
777,432
778,432
780,432
782,505
783,441
783,504
784,504
784,424
784,432
786,505
787,505
787,496
788,505
789,425
790,505
791,432
791,416
791,505
792,504
792,505
793,505
794,505
795,434
795,505
796,505
797,495
800,460
801,505
802,504
802,505
803,432
804,505
805,505
806,505
807,505
808,505
809,505
810,505
811,505
